time,cloudCover,windBearing
1487970000,0.31,196
1487973600,0.31,252
1487977200,0.31,300
1487980800,0.21,289
1487984400,0.22,304
1487988000,0.19,317
1487991600,0.16,324
1487995200,0.09,318
1487998800,0,329
1488002400,0.53,327
1488009600,0.31,340
1488013200,0,347
1488016800,0.06,61
1488020400,0.2,42
1488024000,0.24,2
1488027600,0.21,53
1488031200,0.13,86
1488034800,0.31,133
1488038400,0.15,153
1488042000,0,147
1488045600,0.55,169
1488049200,0.31,186
1488056400,0.31,210
1488060000,0.31,187
1488063600,0.31,185
1488067200,1,182
1488070800,0.31,175
1488088800,1,201
1488099600,0.31,162
1488110400,1,160
1488117600,0.31,149
1488121200,0.31,132
1488128400,0.31,113
1488132000,1,80
1488153600,1,334
1488164400,0.31,333
1488168000,0.31,340
1488175200,1,347
1488196800,0.53,139
1488218400,1,186
1488232800,0.31,194
1488236400,0.17,190
1488240000,0.65,356
1488250800,0.31,97
1488254400,0.31,114
1488261600,1,102
1488283200,1,155
1488290400,0.31,144
1488297600,0.31,131
1488304800,0.61,160
1488308400,0.22,191
1488312000,0.31,201
1488315600,0.31,201
1488319200,0.31,218
1488322800,0.31,200
1488326400,0.45,217
1488330000,0.11,215
1488333600,0,199
1488337200,0.31,194
1488340800,0.31,188
1488348000,1,183
1488369600,0.73,189
1488376800,0.31,192
1488380400,0.31,189
1488391200,1,181
1488402000,0.31,191
1488405600,0.31,185
1488409200,0.22,188
1488412800,0.47,191
1488416400,0.2,201
1488420000,0,191
1488423600,0.26,196
1488427200,0.18,195
1488430800,0.25,184
1488434400,0.42,170
1488438000,0.31,171
1488441600,0.31,166
1488445200,0.31,174
1488452400,0.31,163
1488456000,0.68,152
1488463200,0.31,165
1488470400,0.31,157
1488477600,1,169
1488488400,0.31,183
1488492000,0.31,183
1488499200,1,184
1488520800,1,158
1488542400,0.62,175
1488553200,0.31,178
1488556800,0.17,178
1488560400,0.31,184
1488564000,1,185
1488585600,1,186
1488603600,0.31,213
1488607200,0.75,197
1488610800,0.31,191
1488614400,0.31,194
1488618000,0.09,194
1488621600,0.24,182
1488625200,0.22,187
1488628800,0.48,188
1488632400,0.08,188
1488636000,0.26,173
1488639600,0.23,164
1488643200,0.23,154
1488646800,0.2,167
1488650400,0.38,180
1488654000,0.31,186
1488668400,0.2,357
1488672000,0.65,81
1488675600,0.11,133
1488682800,0.31,14
1488686400,0.31,126
1488690000,0.31,148
1488693600,1,139
1488700800,0.31,146
1488711600,0.31,184
1488715200,0.55,181
1488718800,0.26,178
1488722400,0.18,182
1488726000,0.24,176
1488729600,0.17,174
1488733200,0.26,153
1488736800,0.35,162
1488740400,0.31,181
1488747600,0.31,171
1488751200,0.31,178
1488754800,0.31,173
1488758400,0.82,171
1488762000,0.31,172
1488765600,0.31,170
1488769200,0.31,182
1488772800,0.31,190
1488776400,0.31,185
1488780000,0.7,189
1488783600,0.31,182
1488787200,0.31,191
1488790800,0.08,188
1488794400,0.31,197
1488798000,0.31,189
1488801600,0.65,183
1488823200,1,193
1488826800,0.31,191
1488830400,0.31,195
1488834000,0.31,201
1488837600,0.31,199
1488841200,0.31,203
1488844800,0.43,196
1488848400,0.11,191
1488852000,0.31,199
1488855600,0.26,188
1488859200,0.31,176
1488862800,0.31,191
1488866400,1,174
1488870000,0.31,170
1488888000,1,163
1488909600,1,119
1488931200,1,183
1488952800,1,195
1488956400,0.22,213
1488960000,0.31,207
1488963600,0.21,211
1488967200,0.22,192
1488970800,0.12,191
1488974400,0.43,198
1488981600,0.31,179
1488985200,0.31,172
1488988800,0.31,189
1488992400,0.31,181
1488996000,0.75,185
1489003200,0.31,189
1489017600,1,152
1489039200,1,167
1489060800,1,345
1489104000,1,302
1489125600,0.56,178
1489129200,0.18,178
1489132800,0.31,182
1489147200,0.54,193
1489168800,1,189
1489172400,0.31,195
1489179600,0.31,216
1489183200,0.31,215
1489186800,0.31,226
1489190400,0.4,238
1489194000,0.21,228
1489197600,0.15,272
1489201200,0.26,20
1489204800,0.18,89
1489208400,0,349
1489212000,0.58,7
1489215600,0.18,4
1489219200,0.24,353
1489222800,0.18,4
1489226400,0,357
1489230000,0,343
1489233600,0.19,8
1489237200,0.06,30
1489240800,0,27
1489244400,0,268
1489248000,0.17,178
1489255200,1,150
1489273200,0.31,178
1489276800,1,178
1489280400,0.31,189
1489287600,0.31,196
1489291200,0.18,187
1489294800,0,186
1489298400,0.4,183
1489302000,0.31,183
1489305600,0.31,192
1489309200,0.31,188
1489312800,0.31,178
1489316400,0.31,184
1489320000,0.52,168
1489323600,0.2,152
1489327200,0.31,150
1489334400,0.31,171
1489341600,1,175
1489348800,0.31,158
1489352400,0.31,176
1489356000,0.31,161
1489359600,0.16,142
1489363200,0.46,120
1489366800,0.07,87
1489370400,0.15,86
1489377600,0.04,105
1489381200,0.14,139
1489384800,1,156
1489406400,1,177
1489424400,0.31,138
1489428000,0.73,148
1489449600,0.82,170
1489460400,0.14,120
1489471200,1,101
1489474800,0.31,124
1489478400,0.31,137
1489492800,1,151
1489496400,0.31,133
1489500000,0.31,151
1489514400,1,177
1489521600,0.31,186
1489536000,0.68,197
1489543200,0.31,186
1489546800,0.31,183
1489550400,0.31,170
1489554000,0.31,160
1489557600,1,167
1489579200,1,21
1489597200,0,75
1489600800,0.65,13
1489622400,1,167
1489626000,0.31,177
1489629600,0.31,173
1489633200,0.23,198
1489636800,0.22,198
1489640400,0.09,188
1489644000,0.29,184
1489647600,0.31,187
1489651200,0.31,195
1489654800,0.18,197
1489658400,0.19,185
1489662000,0.06,184
1489665600,0.17,176
1489669200,0.17,182
1489672800,0.14,174
1489676400,0.17,175
1489680000,0.22,178
1489683600,0.27,180
1489687200,0.31,193
1489690800,0.31,193
1489694400,0.22,190
1489698000,0.25,177
1489701600,0,206
1489705200,0.25,204
1489708800,0.23,197
1489712400,0.21,236
1489716000,0.17,199
1489719600,0.17,166
1489723200,0,152
1489726800,0,151
1489730400,0.05,154
1489734000,0,138
1489737600,0.05,123
1489741200,0.07,109
1489744800,0.09,107
1489748400,0,97
1489752000,0.14,29
1489755600,0.03,13
1489759200,0.07,299
1489762800,0.05,2
1489766400,0.08,85
1489770000,0.27,27
1489773600,0.52,198
1489777200,0.31,227
1489780800,0.31,183
1489795200,1,76
1489816800,0.82,149
1489820400,0.31,157
1489838400,1,187
1489860000,0.82,183
1489867200,0,197
1489870800,0.14,189
1489874400,0.24,255
1489878000,0.19,276
1489881600,0.22,356
1489885200,0.31,46
1489888800,0.08,68
1489892400,0.16,80
1489896000,0.16,82
1489899600,0.18,94
1489903200,0.11,100
1489906800,0.23,138
1489910400,0.1,114
1489914000,0.2,125
1489917600,0.17,134
1489921200,0.05,140
1489924800,0,146
1489928400,0,163
1489932000,0.05,145
1489935600,0,132
1489939200,0,151
1489942800,0.05,175
1489946400,0.15,331
1489950000,0.17,328
1489953600,0.05,326
1489957200,0.08,330
1489960800,0.15,335
1489964400,0.09,346
1489968000,0.11,340
1489971600,0,342
1489975200,0.09,343
1489978800,0.09,351
1489982400,0,350
1489986000,0,352
1489989600,0.11,354
1489993200,0,355
1489996800,0.05,3
1490000400,0,356
1490004000,0,357
1490007600,0.02,2
1490011200,0.02,1
1490014800,0.06,6
1490018400,0.02,2
1490022000,0,7
1490025600,0,3
1490029200,0,3
1490032800,0.37,354
1490036400,0.18,349
1490040000,0,353
1490043600,0.06,348
1490047200,0.31,356
1490050800,0.31,354
1490054400,0.73,336
1490072400,0,13
1490076000,0.63,14
1490079600,0.31,352
1490097600,1,61
1490119200,0.58,25
1490126400,0.31,154
1490130000,0.31,163
1490137200,0.31,150
1490140800,0.46,138
1490144400,0.21,152
1490151600,0.31,123
1490155200,0.31,127
